,Name,Team,Batting_Hand,Bowling_Type,Role,Matches,Innings,Not Outs,Runs,Highest,Average,BF,SR,100,200,50,4,6,Matches,Innings,Balls,Runs,Wickets,BBI,BBM,Economy,Average,SR,5W,10W
31,David Miller,Rajasthan Royals,Left,Right-arm offbreak,BATSMAN,80,78,23,1850,101,33.64,1333,138.78,1,0,9,126,87,80,-,-,-,-,-,-,-,-,-,-,-
32,Liam Livingstone,Rajasthan Royals,Right,Right-arm legbreak,BATSMAN,4,4,1,70,44,23.33,48,145.83,0,0,0,6,5,4,1,6,13,0,0/13,0/13,13.0,0.0,0.0,0,0
33,Virat Kohli,Royal Challengers Bangalore,Right,Right-arm medium,BATSMAN,192,184,30,5878,113,38.17,4496,130.74,5,0,39,503,201,192,26,251,368,4,2/25,2/25,8.8,92.0,62.75,0,0
34,Devdutt Padikkal,Royal Challengers Bangalore,Left,Right-arm offbreak,BATSMAN,15,15,0,473,74,31.53,379,124.8,0,0,5,51,8,15,-,-,-,-,-,-,-,-,-,-,-
35,Sachin Baby,Royal Challengers Bangalore,Left,Right-arm offbreak,BATSMAN,18,10,2,137,33,17.12,101,135.64,0,0,0,11,5,18,2,10,8,2,2/4,2/4,4.8,4.0,5.0,0,0
36,Rajat Patidar,Royal Challengers Bangalore,Right,Right-arm offbreak,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Suyash Prabhudessai,Royal Challengers Bangalore,Right,,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Kane Williamson,Sunrisers Hyderabad,Right,Right-arm offbreak,BATSMAN,53,52,11,1619,89,39.49,1201,134.8,0,0,15,136,54,53,2,18,31,0,0/7,0/7,10.33,0.0,0.0,0,0
39,Manish Pandey,Sunrisers Hyderabad,Right,Right-arm medium,BATSMAN,146,135,25,3268,114,29.71,2686,121.67,1,0,18,287,93,146,-,-,-,-,-,-,-,-,-,-,-
40,David Warner,Sunrisers Hyderabad,Left,Right-arm legbreak,BATSMAN,142,142,19,5254,126,42.72,3712,141.54,4,0,48,511,194,142,1,1,2,0,0/2,0/2,0.0,0.0,0.0,0,0
41,Abdul Samad,Sunrisers Hyderabad,Right,Right-arm legbreak,BATSMAN,12,8,3,111,33,22.2,65,170.77,0,0,0,8,6,12,3,42,96,1,1/41,1/41,13.71,96.0,42.0,0,0
42,Virat Singh,Sunrisers Hyderabad,Left,Right-arm legbreak,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Priyam Garg,Sunrisers Hyderabad,Right,Right-arm medium,BATSMAN,14,10,1,133,51,14.78,111,119.82,0,0,1,9,4,14,-,-,-,-,-,-,-,-,-,-,-
44,Imran Tahir,Chennai Super Kings,Right,Right-arm legbreak,BOWLER,58,9,5,33,13,8.25,37,89.19,0,0,0,5,0,58,58,1292,1687,80,4/12,4/12,7.83,21.09,16.15,0,0
45,Karn Sharma,Chennai Super Kings,Left,Right-arm legbreak,BOWLER,68,35,14,317,39,15.1,274,115.69,0,0,0,18,14,68,66,1222,1610,59,4/16,4/16,7.91,27.29,20.71,0,0
46,Lungi Ngidi,Chennai Super Kings,Right,Right-arm fast,BOWLER,11,-,-,-,-,-,-,-,-,-,-,-,-,11,11,252,323,20,4/10,4/10,7.69,16.15,12.6,0,0
47,Deepak Chahar,Chennai Super Kings,Right,Right-arm medium,BOWLER,48,10,3,78,39,11.14,56,139.29,0,0,0,2,6,48,48,1000,1271,45,3/15,3/15,7.63,28.24,22.22,0,0
48,KM Asif,Chennai Super Kings,Right,Right-arm medium,BOWLER,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,36,75,3,2/43,2/43,12.5,25.0,12.0,0,0
49,Shardul Thakur,Chennai Super Kings,Right,Right-arm fast,BOWLER,45,10,4,48,15,8.0,42,114.29,0,0,0,5,1,45,44,901,1340,46,3/19,3/19,8.92,29.13,19.59,0,0
50,Josh Hazlewood,Chennai Super Kings,Left,Right-arm fast,BOWLER,3,-,-,-,-,-,-,-,-,-,-,-,-,3,3,60,64,1,1/19,1/19,6.4,64.0,60.0,0,0
51,Ravisrinivasan Sai Kishore,Chennai Super Kings,Left,Left-arm orthodox,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Harishankar Reddy,Chennai Super Kings,Right,Right-arm medium,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Harshal Patel,Delhi Capitals,Right,Right-arm fast,BOWLER,48,20,7,128,36,9.85,93,137.63,0,0,0,5,9,48,46,926,1349,46,3/28,3/28,8.74,29.33,20.13,0,0
54,Amit Mishra,Delhi Capitals,Right,Right-arm legbreak,BOWLER,150,56,25,362,31,11.68,389,93.06,0,0,0,29,5,150,150,3161,3867,160,5/17,5/17,7.34,24.17,19.76,1,0
55,Avesh Khan,Delhi Capitals,Right,Right-arm fast,BOWLER,9,1,1,4,4,0.0,3,133.33,0,0,0,1,0,9,9,180,299,5,2/29,2/29,9.97,59.8,36.0,0,0
56,Ishant Sharma,Delhi Capitals,Right,Right-arm fast,BOWLER,90,25,19,55,10,9.17,61,90.16,0,0,0,4,2,90,90,1925,2604,71,5/12,5/12,8.12,36.68,27.11,1,0
57,Kagiso Rabada,Delhi Capitals,Left,Right-arm fast,BOWLER,35,15,5,125,44,12.5,128,97.66,0,0,0,9,4,35,35,804,1104,61,4/21,4/21,8.24,18.1,13.18,0,0
58,Praveen Dubey,Delhi Capitals,Right,Right-arm legbreak,BOWLER,3,1,1,7,7,0.0,13,53.85,0,0,0,0,0,3,3,48,72,0,0/14,0/14,9.0,0.0,0.0,0,0
59,Umesh Yadav,Delhi Capitals,Right,Right-arm fast,BOWLER,121,38,24,122,24,8.71,128,95.31,0,0,0,11,4,121,120,2522,3579,119,4/24,4/24,8.51,30.08,21.19,0,0
60,Ripal Patel,Delhi Capitals,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Lukman Meriwala,Delhi Capitals,Left,Left-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Manimaran Siddharth,Delhi Capitals,Right,Left-arm orthodox,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Darshan Nalkande,Punjab Kings,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Murugan Ashwin,Punjab Kings,Right,Right-arm legbreak,BOWLER,31,6,2,8,4,2.0,12,66.67,0,0,0,0,0,31,31,606,784,25,3/21,3/21,7.76,31.36,24.24,0,0
65,Arshdeep Singh,Punjab Kings,Left,Left-arm fast,BOWLER,11,1,0,0,0,0.0,3,0.0,0,0,0,0,0,11,11,209,327,12,3/23,3/23,9.39,27.25,17.42,0,0
66,Mohammed Shami,Punjab Kings,Right,Right-arm fast,BOWLER,63,19,9,56,21,5.6,56,100.0,0,0,0,5,2,63,63,1354,2007,60,3/15,3/15,8.89,33.45,22.57,0,0
67,Ishan Porel,Punjab Kings,Right,Right-arm medium,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Chris Jordan,Punjab Kings,Right,Right-arm fast,BOWLER,20,7,2,32,13,6.4,36,88.89,0,0,0,2,0,20,20,387,602,21,4/11,4/11,9.33,28.67,18.43,0,0
69,Ravi Bishnoi,Punjab Kings,Right,Right-arm legbreak,BOWLER,14,3,2,7,6,7.0,12,58.33,0,0,0,1,0,14,14,306,376,12,3/29,3/29,7.37,31.33,25.5,0,0
70,Riley Meredith,Punjab Kings,Right,Right-arm fast,BOWLER,14,3,2,7,6,7.0,12,58.33,0,0,0,1,0,14,14,306,376,12,3/29,3/29,7.37,31.33,25.5,0,0
71,Utkarsh Singh,Punjab Kings,Left,Right-arm offbreak,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Sunil Narine,Kolkata Knight Riders,Left,Right-arm offbreak,BOWLER,120,66,13,892,75,16.83,543,164.27,0,0,4,103,52,120,119,2785,3147,127,5/19,5/19,6.78,24.78,21.93,1,0
73,Kuldeep Yadav,Kolkata Knight Riders,Left,Left-arm chinaman,BOWLER,45,11,5,57,16,9.5,75,76.0,0,0,0,5,0,45,43,896,1236,40,4/20,4/20,8.28,30.9,22.4,0,0
74,Prasidh Krishna,Kolkata Knight Riders,Right,Right-arm medium,BOWLER,24,5,4,3,2,3.0,11,27.27,0,0,0,0,0,24,24,515,801,18,4/30,4/30,9.33,44.5,28.61,0,0
75,Lockie Ferguson,Kolkata Knight Riders,Right,Right-arm fast,BOWLER,14,3,3,44,24,0.0,30,146.67,0,0,0,4,1,14,14,299,424,11,3/15,3/15,8.51,38.55,27.18,0,0
76,Sandeep Warrier,Kolkata Knight Riders,Right,Right-arm medium,BOWLER,4,-,-,-,-,-,-,-,-,-,-,-,-,4,4,90,119,2,2/31,2/31,7.93,59.5,45.0,0,0
77,Pat Cummins,Kolkata Knight Riders,Right,Right-arm fast,BOWLER,30,21,8,223,53,17.15,169,131.95,0,0,1,14,12,30,30,673,908,29,4/34,4/34,8.1,31.31,23.21,0,0
78,Kamlesh Nagarkoti,Kolkata Knight Riders,Right,Right-arm fast,BOWLER,10,6,3,22,8,7.33,31,70.97,0,0,0,1,0,10,9,156,231,5,2/13,2/13,8.88,46.2,31.2,0,0
79,Varun Chakravarthy,Kolkata Knight Riders,Right,Right-arm legbreak,BOWLER,14,3,1,10,7,5.0,15,66.67,0,0,0,0,0,14,14,330,391,18,5/20,5/20,7.11,21.72,18.33,1,0
80,Vaibhav Arora,Kolkata Knight Riders,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
