,Name,Team,Batting_Hand,Bowling_Type,Role,Matches,Innings,Not Outs,Runs,Highest,Average,BF,SR,100,200,50,4,6,Matches,Innings,Balls,Runs,Wickets,BBI,BBM,Economy,Average,SR,5W,10W
135,Anuj Rawat,Rajasthan Royals,Left,,WICKET KEEPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,AB de Villiers,Royal Challengers Bangalore,Right,Right-arm medium,WICKET KEEPER,169,156,36,4849,133,40.41,3192,151.91,3,0,38,390,235,169,-,-,-,-,-,-,-,-,-,-,-
137,Josh Philippe,Royal Challengers Bangalore,Right,,WICKET KEEPER,5,5,1,78,33,19.5,77,101.3,0,0,0,9,1,5,-,-,-,-,-,-,-,-,-,-,-
138,Mohammed Azharuddeen,Royal Challengers Bangalore,Right,,WICKET KEEPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Srikar Bharat,Royal Challengers Bangalore,Right,,WICKET KEEPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Wriddhiman Saha,Sunrisers Hyderabad,Right,,WICKET KEEPER,124,99,22,1979,115,25.7,1499,132.02,1,0,8,184,64,124,-,-,-,-,-,-,-,-,-,-,-
141,Shreevats Goswami,Sunrisers Hyderabad,Left,,WICKET KEEPER,31,21,1,293,52,14.65,295,99.32,0,0,1,32,3,31,-,-,-,-,-,-,-,-,-,-,-
142,Jonny Bairstow,Sunrisers Hyderabad,Right,Right-arm medium,WICKET KEEPER,21,21,2,790,114,41.58,555,142.34,1,0,5,79,31,21,-,-,-,-,-,-,-,-,-,-,-
143,Dwayne Bravo,Chennai Super Kings,Right,Right-arm fast,ALL ROUNDER,140,104,38,1490,70,22.58,1162,128.23,0,0,5,117,61,140,137,2711,3798,153,4/22,4/22,8.41,24.82,17.72,0,0
144,Moeen Ali,Chennai Super Kings,Left,Right-arm offbreak,ALL ROUNDER,19,17,2,309,66,20.6,195,158.46,0,0,3,21,23,19,17,259,308,10,2/18,2/18,7.14,30.8,25.9,0,0
145,Ravindra Jadeja,Chennai Super Kings,Left,Left-arm orthodox,ALL ROUNDER,184,139,54,2159,50,25.4,1706,126.55,0,0,1,157,76,184,155,2713,3470,114,5/16,5/16,7.67,30.44,23.8,1,0
146,Mitchell Santner,Chennai Super Kings,Left,Left-arm orthodox,ALL ROUNDER,6,2,1,32,22,32.0,23,139.13,0,0,0,0,3,6,6,126,147,6,2/13,2/13,7.0,24.5,21.0,0,0
147,Sam Curran,Chennai Super Kings,Left,Left-arm fast,ALL ROUNDER,23,19,7,281,55,23.42,196,143.37,0,0,2,25,15,23,22,450,667,23,4/11,4/11,8.89,29.0,19.57,0,0
148,Krishnappa Gowtham,Chennai Super Kings,Right,Right-arm offbreak,ALL ROUNDER,24,19,6,186,33,14.31,110,169.09,0,0,0,13,12,24,24,408,562,13,2/12,2/12,8.26,43.23,31.38,0,0
149,Bhagath Varma,Chennai Super Kings,Right,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Marcus Stoinis,Delhi Capitals,Right,Right-arm medium,ALL ROUNDER,46,42,13,825,65,28.45,601,137.27,0,0,4,65,34,46,37,545,852,28,4/15,4/15,9.38,30.43,19.46,0,0
151,Lalit Yadav,Delhi Capitals,Right,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Axar Patel,Delhi Capitals,Left,Left-arm orthodox,ALL ROUNDER,97,72,22,913,44,18.26,715,127.69,0,0,0,53,43,97,96,2019,2456,80,4/21,4/21,7.3,30.7,25.24,0,0
153,Ravichandran Ashwin,Delhi Capitals,Right,Right-arm offbreak,ALL ROUNDER,154,58,20,412,45,10.84,373,110.46,0,0,0,35,11,154,151,3230,3700,138,4/34,4/34,6.87,26.81,23.41,0,0
154,Chris Woakes,Delhi Capitals,Right,Right-arm fast,ALL ROUNDER,18,11,5,63,18,10.5,66,95.45,0,0,0,5,2,18,18,374,576,25,3/6,3/6,9.24,23.04,14.96,0,0
155,Tom Curran,Delhi Capitals,Right,Right-arm fast,ALL ROUNDER,10,8,4,106,54,26.5,90,117.78,0,0,1,8,3,10,10,170,326,9,2/19,2/19,11.51,36.22,18.89,0,0
156,Harpreet Brar,Punjab Kings,Left,Left-arm orthodox,ALL ROUNDER,3,1,1,20,20,0.0,12,166.67,0,0,0,2,1,3,3,54,89,0,0/24,0/24,9.89,0.0,0.0,0,0
157,Deepak Hooda,Punjab Kings,Right,Right-arm offbreak,ALL ROUNDER,68,50,13,625,62,16.89,483,129.4,0,0,2,32,29,68,21,229,322,7,2/16,2/16,8.44,46.0,32.71,0,0
158,Moises Henriques,Punjab Kings,Right,Right-arm fast,ALL ROUNDER,57,50,16,969,74,28.5,756,128.17,0,0,5,87,27,57,55,890,1244,38,3/16,3/16,8.39,32.74,23.42,0,0
159,Jalaj Saxena,Punjab Kings,Right,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Fabian Allen,Punjab Kings,Right,Left-arm orthodox,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Jhye Richardson,Punjab Kings,Right,Right-arm fast,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Shahrukh Khan,Punjab Kings,Right,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Saurabh Kumar,Punjab Kings,Left,Left-arm orthodox,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Shakib Al Hasan,Kolkata Knight Riders,Left,Left-arm orthodox,ALL ROUNDER,63,46,11,746,66,21.31,589,126.66,0,0,2,70,20,63,62,1328,1652,59,3/17,3/17,7.46,28.0,22.51,0,0
165,Venkatesh Iyer,Kolkata Knight Riders,Left,Right-arm medium,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Andre Russell,Kolkata Knight Riders,Right,Right-arm fast,ALL ROUNDER,74,61,10,1517,88,29.75,832,182.33,0,0,8,105,129,74,68,1147,1713,61,4/20,4/20,8.96,28.08,18.8,0,0
167,Shivam Mavi,Kolkata Knight Riders,Right,Right-arm fast,ALL ROUNDER,17,7,2,23,9,4.6,29,79.31,0,0,0,2,0,17,17,324,482,14,2/15,2/15,8.93,34.43,23.14,0,0
168,Ben Cutting,Kolkata Knight Riders,Right,Right-arm fast,ALL ROUNDER,21,17,6,238,39,21.64,141,168.79,0,0,0,15,19,21,17,281,429,10,2/20,2/20,9.16,42.9,28.1,0,0
169,Pawan Negi,Kolkata Knight Riders,Left,Left-arm orthodox,ALL ROUNDER,50,35,9,365,36,14.04,289,126.3,0,0,0,27,16,50,42,716,939,34,4/18,4/18,7.87,27.62,21.06,0,0
170,Hardik Pandya,Mumbai Indians,Right,Right-arm fast,ALL ROUNDER,80,74,29,1349,91,29.98,847,159.27,0,0,4,86,93,80,60,869,1313,42,3/20,3/20,9.07,31.26,20.69,0,0
171,Kieron Pollard,Mumbai Indians,Right,Right-arm medium,ALL ROUNDER,164,147,46,3023,83,29.93,2017,149.88,0,0,15,196,198,164,92,1325,1960,60,4/44,4/44,8.88,32.67,22.08,0,0
172,Krunal Pandya,Mumbai Indians,Left,Left-arm orthodox,ALL ROUNDER,71,60,19,1000,86,24.39,702,142.45,0,0,1,95,40,71,69,1245,1508,46,3/14,3/14,7.27,32.78,27.07,0,0
173,Anukul Roy,Mumbai Indians,Left,Left-arm orthodox,ALL ROUNDER,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,12,11,1,1/11,1/11,5.5,11.0,12.0,0,0
174,James Neesham,Mumbai Indians,Left,Right-arm medium,ALL ROUNDER,9,6,1,61,22,12.2,64,95.31,0,0,0,3,2,9,9,144,239,3,1/17,1/17,9.96,79.67,48.0,0,0
175,Piyush Chawla,Mumbai Indians,Left,Right-arm legbreak,ALL ROUNDER,164,81,32,584,24,11.92,524,111.45,0,0,0,54,18,164,163,3250,4263,156,4/17,4/17,7.87,27.33,20.83,0,0
176,Marco Jansen,Mumbai Indians,Right,Left-arm fast,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Arjun Tendulkar,Mumbai Indians,Left,Left-arm fast,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Ben Stokes,Rajasthan Royals,Left,Right-arm fast,ALL ROUNDER,42,41,6,920,107,26.29,681,135.1,2,0,2,79,32,42,36,677,962,28,3/15,3/15,8.53,34.36,24.18,0,0
179,Mahipal Lomror,Rajasthan Royals,Left,Left-arm orthodox,ALL ROUNDER,7,6,1,87,47,17.4,78,111.54,0,0,0,5,3,7,2,18,27,0,0/8,0/8,9.0,0.0,0.0,0,0
180,Rahul Tewatia,Rajasthan Royals,Left,Right-arm legbreak,ALL ROUNDER,34,23,11,366,53,30.5,272,134.56,0,0,1,24,20,34,32,572,680,24,3/18,3/18,7.13,28.33,23.83,0,0
181,Shreyas Gopal,Rajasthan Royals,Right,Right-arm legbreak,ALL ROUNDER,45,19,6,164,24,12.62,157,104.46,0,0,0,17,1,45,44,889,1163,48,4/16,4/16,7.85,24.23,18.52,0,0
182,Shivam Dube,Rajasthan Royals,Left,Right-arm medium,ALL ROUNDER,15,13,3,169,27,16.9,138,122.46,0,0,0,6,12,15,7,64,81,4,2/15,2/15,7.59,20.25,16.0,0,0
183,Chris Morris,Rajasthan Royals,Right,Right-arm fast,ALL ROUNDER,70,44,21,551,82,23.96,349,157.88,0,0,2,39,30,70,70,1474,1919,80,4/23,4/23,7.81,23.99,18.43,0,0
184,Washington Sundar,Royal Challengers Bangalore,Left,Right-arm offbreak,ALL ROUNDER,36,22,11,186,35,16.91,148,125.68,0,0,0,15,6,36,35,654,749,24,3/16,3/16,6.87,31.21,27.25,0,0
185,Pavan Deshpande,Royal Challengers Bangalore,Left,Right-arm offbreak,ALL ROUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Glenn Maxwell,Royal Challengers Bangalore,Right,Right-arm offbreak,ALL ROUNDER,82,79,11,1505,95,22.13,973,154.68,0,0,6,118,91,82,50,546,780,19,2/15,2/15,8.57,41.05,28.74,0,0
187,Shahbaz Ahmed,Royal Challengers Bangalore,Left,Left-arm orthodox,ALL ROUNDER,2,1,1,1,1,0.0,1,100.0,0,0,0,0,0,2,2,36,44,2,2/26,2/26,7.33,22.0,18.0,0,0
188,Daniel Sams,Royal Challengers Bangalore,Right,Left-arm fast,ALL ROUNDER,3,1,0,0,0,0.0,2,0.0,0,0,0,0,0,3,3,72,114,0,0/30,0/30,9.5,0.0,0.0,0,0
189,Daniel Christian,Royal Challengers Bangalore,Right,Right-arm fast,ALL ROUNDER,40,34,8,446,39,17.15,374,119.25,0,0,0,22,19,40,40,783,1037,34,2/10,2/10,7.95,30.5,23.03,0,0
190,Vijay Shankar,Sunrisers Hyderabad,Right,Right-arm medium,ALL ROUNDER,40,34,12,654,63,29.73,512,127.73,0,0,3,44,25,40,15,163,229,6,1/11,1/11,8.43,38.17,27.17,0,0
191,Mitchell Marsh,Sunrisers Hyderabad,Right,Right-arm fast,ALL ROUNDER,21,15,2,225,38,17.31,197,114.21,0,0,0,9,14,21,19,319,420,20,4/25,4/25,7.9,21.0,15.95,0,0
192,Kedar Jadhav,Sunrisers Hyderabad,Right,Right-arm offbreak,ALL ROUNDER,87,75,25,1141,69,22.82,919,124.16,0,0,4,99,38,87,-,-,-,-,-,-,-,-,-,-,-
193,Mohammad Nabi,Sunrisers Hyderabad,Right,Right-arm offbreak,ALL ROUNDER,14,11,2,146,31,16.22,99,147.47,0,0,0,13,7,14,14,295,322,11,4/11,4/11,6.55,29.27,26.82,0,0
194,Abhishek Sharma,Sunrisers Hyderabad,Left,Left-arm orthodox,ALL ROUNDER,14,13,5,143,46,17.88,98,145.92,0,0,0,10,8,14,8,72,112,3,1/10,1/10,9.33,37.33,24.0,0,0
195,Jason Holder,Sunrisers Hyderabad,Right,Right-arm fast,ALL ROUNDER,18,9,2,104,26,14.86,84,123.81,0,0,0,9,5,18,18,384,539,19,3/25,3/25,8.42,28.37,20.21,0,0
